iter	Passed	Remaining
892	1755	210
893	1757	208
894	1759	206
895	1761	204
896	1762	202
897	1764	200
898	1767	198
899	1768	196
900	1770	194
901	1772	192
902	1774	190
903	1776	188
904	1778	186
905	1780	184
906	1782	182
907	1784	180
908	1786	178
909	1788	176
910	1789	174
911	1792	172
912	1794	170
913	1795	168
914	1798	167
915	1801	165
916	1802	163
917	1804	161
918	1806	159
919	1808	157
920	1811	155
921	1814	153
922	1816	151
923	1818	149
924	1820	147
925	1822	145
926	1823	143
927	1825	141
928	1828	139
929	1829	137
930	1831	135
931	1833	133
932	1835	131
933	1837	129
934	1838	127
935	1840	125
936	1842	123
937	1844	121
938	1846	119
939	1848	117
940	1850	116
941	1851	114
942	1853	112
943	1855	110
944	1857	108
945	1860	106
946	1862	104
947	1864	102
948	1866	100
949	1867	98
950	1869	96
951	1872	94
952	1873	92
953	1876	90
954	1877	88
955	1879	86
956	1881	84
957	1883	82
958	1885	80
959	1887	78
960	1890	76
961	1892	74
962	1893	72
963	1895	70
964	1897	68
965	1899	66
966	1901	64
967	1903	62
968	1905	60
969	1907	58
970	1909	57
971	1911	55
972	1912	53
973	1914	51
974	1916	49
975	1918	47
976	1920	45
977	1922	43
978	1924	41
979	1926	39
980	1928	37
981	1929	35
982	1932	33
983	1933	31
984	1935	29
985	1937	27
986	1939	25
987	1942	23
988	1945	21
989	1947	19
990	1948	17
991	1950	15
992	1953	13
993	1955	11
994	1956	9
995	1959	7
996	1961	5
997	1964	3
998	1967	1
999	1969	0
